Country Name,Indicator Name,Year,Value,Region,Income Group
Palau,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,74.7342968,East Asia & Pacific,High income
Qatar,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,47.28397427,Middle East & North Africa,High income
Bahrain,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,24.83293616,Middle East & North Africa,High income
Kuwait,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,22.9081845,Middle East & North Africa,High income
Brunei Darussalam,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,22.10700853,East Asia & Pacific,High income
Trinidad and Tobago,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,20.97475939,Latin America & Caribbean,High income
United Arab Emirates,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,20.82692786,Middle East & North Africa,High income
Oman,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,19.49311887,Middle East & North Africa,High income
Saudi Arabia,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,19.17598933,Middle East & North Africa,High income
Gibraltar,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,17.40734712,Europe & Central Asia,High income
New Caledonia,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,16.3459718,East Asia & Pacific,High income
Australia,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,14.97872411,East Asia & Pacific,High income
Canada,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,14.68975936,North America,High income
United States,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,14.31611543,North America,High income
Turkmenistan,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,13.45624949,Europe & Central Asia,Upper middle income
Russian Federation,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,13.39207574,Europe & Central Asia,High income
Luxembourg,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,13.09337816,Europe & Central Asia,High income
"Korea, Rep.",Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,12.33872683,East Asia & Pacific,High income
Kazakhstan,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,12.25246476,Europe & Central Asia,Upper middle income
Singapore,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),2021,10.21678293,East Asia & Pacific,High income
